Time,Experimental_Data,Model_Simulation,Condition
0,40,40,NT
3.10731707317073,83.4146341463415,72.1941036198504,NT
5.87317073170732,156.09756097561,122.105860331833,NT
7.9219512195122,224.878048780488,179.804869702035,NT
9.93658536585366,302.926829268293,263.824264024394,NT
NaN,NaN,NaN,NT
NaN,NaN,NaN,NT
NaN,NaN,NaN,NT
NaN,NaN,NaN,NT
NaN,NaN,NaN,NT
NaN,NaN,NaN,NT
0,40,40,WT
2.86829268292683,51.7073170731707,62.3311115820651,WT
7.95609756097561,50.2439024390244,102.122454687909,WT
9.93658536585366,60.9756097560976,118.589486741046,WT
12.9414634146341,105.853658536585,147.328115348213,WT
14.990243902439,152.19512195122,171.290917025657,WT
19.9414634146341,292.19512195122,257.059644023742,WT
NaN,NaN,NaN,WT
NaN,NaN,NaN,WT
NaN,NaN,NaN,WT
NaN,NaN,NaN,WT
0,40,40,CISH KO
2.93658536585366,76.0975609756098,58.3854159668572,CISH KO
6.00975609756098,61.9512195121951,60.9659556095072,CISH KO
7.88780487804878,66.3414634146342,54.1556328777087,CISH KO
9.90243902439024,51.219512195122,43.4537729947418,CISH KO
12.9073170731707,19.0243902439024,27.6925047108459,CISH KO
14.9219512195122,11.219512195122,19.3691240721368,CISH KO
19.9073170731707,0.975609756097561,7.26918300722956,CISH KO
22.9121951219512,0,3.88756398873819,CISH KO
26.9756097560976,0,1.63618535629576,CISH KO
30.9365853658537,0,0.697405013687867,CISH KO
