Time,Experimental_Data,Model_Simulation,Condition
0,40,40,NT
3.107317073,83.41463415,75.60239147,NT
5.873170732,156.097561,133.2959161,NT
7.92195122,224.8780488,202.3247815,NT
9.936585366,302.9268293,305.6728094,NT
0,40,40,WT
2.868292683,51.70731707,52.28659054,WT
7.956097561,50.24390244,82.23565929,WT
9.936585366,60.97560976,98.38402849,WT
12.94146341,105.8536585,130.002691,WT
14.9902439,152.195122,158.5730901,WT
19.94146341,292.195122,266.0610209,WT
0,40,40,CISH KO
2.936585366,76.09756098,39.05617083,CISH KO
6.009756098,61.95121951,36.16157729,CISH KO
7.887804878,66.34146341,33.98675496,CISH KO
9.902439024,51.2195122,31.40015016,CISH KO
12.90731707,19.02439024,27.22809101,CISH KO
14.92195122,11.2195122,24.3385174,CISH KO
19.90731707,0.975609756,17.39666414,CISH KO
22.91219512,0,13.64156394,CISH KO
26.97560976,0,9.339124846,CISH KO
30.93658537,0,6.098581794,CISH KO
