ID,dL,kL,kN,pL,delta,f_dose,kappa,gamma,L_max,L_AUC,T_AUC_normalized,tumor_ratio,Column16,no_therapy_L_max,no_therapy_L_AUC,no_therapy_T_AUC_normalized,no_therapy_tumor_ratio,cish_L_max,cish_L_AUC,cish_T_AUC_normalized,cish_tumor_ratio,double_cish_L_max,double_cish_L_AUC,double_cish_T_AUC_normalized,double_cish_tumor_ratio,anti_pd1_L_max,anti_pd1_L_AUC,anti_pd1_T_AUC_normalized,anti_pd1_tumor_ratio,cish_anti_pd1_L_max,cish_anti_pd1_L_AUC,cish_anti_pd1_T_AUC_normalized,cish_anti_pd1_tumor_ratio,double_cish_anti_pd1_L_max,double_cish_anti_pd1_L_AUC,double_cish_anti_pd1_T_AUC_normalized,double_cish_anti_pd1_tumor_ratio
patient_002_tumor_1,0.052423614,0.017544228,0.000238063,0.001777547,1.94e-9,0.317849719,0.476209438,0.003009375,0.0091403,0.167068322,48.79894546,0.997427049,,1.0e-10,4.999999999999993e-9,52.243058813480886,1.0904019010365797,0.009140299949212125,0.1670683205121898,48.79894623969134,0.997427081546746,0.018286457291593474,0.33714447843890116,45.478089498378324,0.9048056827508442,1.0e-10,4.999999999999993e-9,50.526982974290604,1.0209761177695253,0.009143960775434357,0.16904278807790735,44.29044475358252,0.8608138865995864,0.018299306906355714,0.3433626563623872,39.02485386582672,0.7232729899700621
patient_002_tumor_2,0.052423614,0.017544228,0.000238063,0.001777547,1.94e-9,0.317849719,0.476209438,0.001000002,0.009381863,0.193104601,49.60117862,0.996380783,,1.0e-10,4.999999999999993e-9,50.74288398227641,1.0284440704294189,0.009381863396936543,0.19310459898379384,49.60117863090577,0.9963807840173522,0.01876442854372991,0.3865700612557543,48.406422545627386,0.9618299863002935,1.0e-10,4.999999999999993e-9,50.185839177382256,1.0047358189366802,0.00938218879275762,0.1933672558415056,47.92777643942053,0.9427661917435429,0.018765595944636813,0.3874646354249748,45.689232662672396,0.8801242629528724
patient_002_tumor_3,0.052423614,0.017544228,0.000238063,0.001777547,1.94e-9,0.317849719,0.476209438,0.003414606,0.009308735,0.184170906,51.51513617,1.08423457,,1.0e-10,4.999999999999993e-9,53.542057993482054,1.1424524029732652,0.0093087350245113,0.18417090415416562,51.51513680304534,1.0842345976547747,0.018619169524867477,0.3693766883885007,49.45511874004182,1.0232546599946897,1.0e-10,4.999999999999993e-9,52.52906045297294,1.0983502206463374,0.009309695871867332,0.18487439686019863,48.65272978221051,0.9908641774878193,0.01862259366032119,0.3716969387945572,45.03294745721872,0.8887752327090912
patient_002_tumor_4,0.052423614,0.017544228,0.000238063,0.001777547,1.94e-9,0.317849719,0.476209438,0.002653288,0.009300017,0.18336667,50.42872907,1.040878854,,1.0e-10,4.999999999999993e-9,52.48182138030069,1.0987355064499493,0.009300017050699475,0.18336666865067247,50.42872994096619,1.0408788908069941,0.018601885845997524,0.36784241883336727,48.34884019507,0.9805076322394048,1.0e-10,4.999999999999993e-9,51.46319901035564,1.0552999719960101,0.009301075784992768,0.1841179144546964,47.54629828084509,0.9488117802594171,0.018605655676300927,0.3703147401205491,43.909264396561966,0.8483314189074591
patient_003_tumor_1,0.487735219,0.012608145,0.000247829,0.003798878,1.72e-8,0.100160973,0.111953464,0.00606457,0.049247224,0.434924492,47.38129403,1.042094096,,1.0e-10,4.999999999999993e-9,56.40036065812293,1.2650072480287224,0.04924722396978056,0.4349244922238137,47.38129362362776,1.0420940790424942,0.098536431836167,0.8732867045805907,40.808945405562014,0.8811029891108973,1.0e-10,4.999999999999993e-9,54.39923112083498,1.1793505772751423,0.04928322180529569,0.4362366635534092,39.47325545702108,0.8293418983971623,0.09866160497622535,0.8770592014497902,31.057866029888462,0.634841965580623
patient_003_tumor_2,0.487735219,0.012608145,0.000247829,0.003798878,1.72e-8,0.100160973,0.111953464,0.005584875,0.049392595,0.436749196,48.08270626,1.051315499,,1.0e-10,4.999999999999993e-9,55.93868467329679,1.2442892517659714,0.04939259491292301,0.4367491960860297,48.08270510367695,1.051315449017752,0.09881103150214587,0.8763928316313974,42.11426506975753,0.9057253702108786,1.0e-10,4.999999999999993e-9,54.18927207924286,1.1687059582199433,0.04941939128990768,0.4377640689015653,40.86059742223296,0.8569467125842322,0.0989055328152104,0.8793994329174221,32.8499480337973,0.6717884047460715
patient_006_tumor_1,0.002226474,0.002698763,0.000669789,0.020580132,2.02e-9,1.0,0.05,0.001000003,0.002178116,0.082465891,50.10124229,1.000223908,,0.00028225384515917745,0.007182037078961846,50.136293350116944,1.0018477370044854,0.0021781163822708364,0.08246588978358,50.101241471788164,1.0002238742470275,0.00434751961748346,0.16469107396255322,50.04877684143542,0.9979215674943723,0.00028468927794506944,0.007221990218078059,48.97828798733975,0.953058320804806,0.0021890470205199212,0.08262304493747855,48.90980594129096,0.9499861601231558,0.004370241149790968,0.16501797176598476,48.80748328428665,0.9456497749377566
patient_009_tumor_1,0.5,0.002531296,0.000258573,0.002263659,1.87e-9,0.82320656,0.5,0.018635491,0.490876769,1.728231212,65.36622174,1.934585909,,1.0e-10,4.999999999999993e-9,79.01236681481582,2.3465533042137006,0.49087676918786205,1.7282312149034644,65.366215465096,1.9345856156361976,0.9814770004764224,3.4627414854521947,55.76751530906837,1.646095006331156,1.0e-10,4.999999999999993e-9,75.48606484207626,2.162209357419065,0.4910052328594065,1.7341767334354972,53.1936956108217,1.5199234458770812,0.9819420873300314,3.480062773662,41.19190792821664,1.1763127376957998
patient_009_tumor_2,0.5,0.002531296,0.000258573,0.002263659,1.87e-9,0.82320656,0.5,0.012950987,0.491325461,1.733727627,56.97678992,1.493641439,,1.0e-10,4.999999999999993e-9,67.7435551396102,1.7820671861371835,0.49132546145865186,1.733727629189898,56.97678551329622,1.493641255043988,0.9823379206360799,3.472123194269527,49.187751824820204,1.285542475473121,1.0e-10,4.999999999999993e-9,65.16495802020727,1.6576883582865916,0.49143398750568207,1.7388027220486977,47.20439859306546,1.198057822504312,0.982733279328208,3.487165379426705,37.10456921791356,0.9400796619084602
patient_009_tumor_3,0.5,0.002531296,0.000258573,0.002263659,1.87e-9,0.82320656,0.5,0.010572297,0.494280961,1.767740751,60.07881756,1.516079287,,1.0e-10,4.999999999999993e-9,64.72737118737331,1.635331318179608,0.49428096128124654,1.767740753269194,60.07881490481364,1.516079170012408,0.9880823374432313,3.53263617674098,56.05567032888767,1.4127012084127506,1.0e-10,4.999999999999993e-9,63.526019631888744,1.5733593562421229,0.494299312593968,1.7687874610730498,54.84656448812139,1.3577245624960084,0.988152137777375,3.536196870851388,48.27853824091258,1.1938169297281493
